path,label
/mnt/ssd1/saumia/data/images/imgs_part_3/PAT_1701_3135_5.png,imgs_part_3
/mnt/ssd1/saumia/data/images/imgs_part_1/PAT_49_75_326.png,imgs_part_1
/mnt/ssd1/saumia/data/images/imgs_part_1/PAT_46_879_225.png,imgs_part_1
/mnt/ssd1/saumia/data/images/imgs_part_3/PAT_1611_2725_680.png,imgs_part_3
/mnt/ssd1/saumia/data/images/imgs_part_1/PAT_91_356_74.png,imgs_part_1
/mnt/ssd1/saumia/data/images/imgs_part_3/PAT_1978_4004_304.png,imgs_part_3
/mnt/ssd1/saumia/data/images/imgs_part_3/PAT_1757_3316_304.png,imgs_part_3
/mnt/ssd1/saumia/data/images/imgs_part_3/PAT_1229_794_274.png,imgs_part_3
/mnt/ssd1/saumia/data/images/imgs_part_2/PAT_818_1539_859.png,imgs_part_2
/mnt/ssd1/saumia/data/images/imgs_part_1/PAT_279_430_356.png,imgs_part_1
/mnt/ssd1/saumia/data/images/imgs_part_2/PAT_605_1152_536.png,imgs_part_2
/mnt/ssd1/saumia/data/images/imgs_part_1/PAT_13_21_350.png,imgs_part_1
/mnt/ssd1/saumia/data/images/imgs_part_1/PAT_240_366_768.png,imgs_part_1
/mnt/ssd1/saumia/data/images/imgs_part_2/PAT_1021_112_40.png,imgs_part_2
/mnt/ssd1/saumia/data/images/imgs_part_2/PAT_645_1300_463.png,imgs_part_2
/mnt/ssd1/saumia/data/images/imgs_part_1/PAT_106_158_249.png,imgs_part_1
/mnt/ssd1/saumia/data/images/imgs_part_1/PAT_215_330_224.png,imgs_part_1
/mnt/ssd1/saumia/data/images/imgs_part_1/PAT_302_1633_845.png,imgs_part_1
/mnt/ssd1/saumia/data/images/imgs_part_2/PAT_851_4520_743.png,imgs_part_2
/mnt/ssd1/saumia/data/images/imgs_part_2/PAT_715_4073_115.png,imgs_part_2
/mnt/ssd1/saumia/data/images/imgs_part_2/PAT_1061_254_813.png,imgs_part_2
/mnt/ssd1/saumia/data/images/imgs_part_2/PAT_1071_314_500.png,imgs_part_2
/mnt/ssd1/saumia/data/images/imgs_part_1/PAT_261_401_911.png,imgs_part_1
/mnt/ssd1/saumia/data/images/imgs_part_3/PAT_1746_3284_798.png,imgs_part_3
/mnt/ssd1/saumia/data/images/imgs_part_1/PAT_397_797_638.png,imgs_part_1
/mnt/ssd1/saumia/data/images/imgs_part_2/PAT_1065_276_231.png,imgs_part_2
/mnt/ssd1/saumia/data/images/imgs_part_3/PAT_1707_3148_237.png,imgs_part_3
/mnt/ssd1/saumia/data/images/imgs_part_3/PAT_2046_4323_762.png,imgs_part_3
/mnt/ssd1/saumia/data/images/imgs_part_1/PAT_301_649_533.png,imgs_part_1
/mnt/ssd1/saumia/data/images/imgs_part_3/PAT_1379_1300_924.png,imgs_part_3
/mnt/ssd1/saumia/data/images/imgs_part_1/PAT_90_138_605.png,imgs_part_1
/mnt/ssd1/saumia/data/images/imgs_part_3/PAT_1950_3932_655.png,imgs_part_3
/mnt/ssd1/saumia/data/images/imgs_part_3/PAT_1790_3425_942.png,imgs_part_3
/mnt/ssd1/saumia/data/images/imgs_part_1/PAT_87_133_391.png,imgs_part_1
/mnt/ssd1/saumia/data/images/imgs_part_2/PAT_1014_86_861.png,imgs_part_2
/mnt/ssd1/saumia/data/images/imgs_part_3/PAT_1190_700_663.png,imgs_part_3
/mnt/ssd1/saumia/data/images/imgs_part_3/PAT_1534_1809_366.png,imgs_part_3
/mnt/ssd1/saumia/data/images/imgs_part_3/PAT_1278_965_701.png,imgs_part_3
/mnt/ssd1/saumia/data/images/imgs_part_2/PAT_821_1547_77.png,imgs_part_2
/mnt/ssd1/saumia/data/images/imgs_part_2/PAT_614_1166_885.png,imgs_part_2
/mnt/ssd1/saumia/data/images/imgs_part_1/PAT_262_402_14.png,imgs_part_1
/mnt/ssd1/saumia/data/images/imgs_part_3/PAT_1280_972_727.png,imgs_part_3
/mnt/ssd1/saumia/data/images/imgs_part_2/PAT_852_1629_265.png,imgs_part_2
/mnt/ssd1/saumia/data/images/imgs_part_1/PAT_224_1340_551.png,imgs_part_1
/mnt/ssd1/saumia/data/images/imgs_part_1/PAT_492_1784_50.png,imgs_part_1
/mnt/ssd1/saumia/data/images/imgs_part_1/PAT_451_878_634.png,imgs_part_1
/mnt/ssd1/saumia/data/images/imgs_part_1/PAT_108_161_575.png,imgs_part_1
/mnt/ssd1/saumia/data/images/imgs_part_1/PAT_252_383_389.png,imgs_part_1
/mnt/ssd1/saumia/data/images/imgs_part_2/PAT_770_1451_136.png,imgs_part_2
/mnt/ssd1/saumia/data/images/imgs_part_3/PAT_1451_1561_100.png,imgs_part_3
/mnt/ssd1/saumia/data/images/imgs_part_3/PAT_1572_2494_224.png,imgs_part_3
/mnt/ssd1/saumia/data/images/imgs_part_3/PAT_1129_498_930.png,imgs_part_3
